98a a57 6e0
543 b70 3b2
8b6 04e 904
7bf 7ea 2a8
8c4 293 b57
8ad 562 10e
669 ba6 50e
c11 4d1 3e1
a2a 280 caa
984 304 c88
8a1 8c5 465
b67 cbc b22
960 b35 794
048 465 4ad
62b 9ea 314
527 951 177
ad2 00e ae0
481 85d cde
a49 106 b4f
303 213 516
1fb 8a5 aa0
79c 5d9 074
085 662 6e7
047 5ad 5f4
b54 a38 88b
8bf 2fe bbd
1a6 8cc a72
87a 30c b86
5b6 a32 2e7
6f8 5bb cb3
4e7 3e1 8c8
35b acf 129
b83 516 398
7c5 b08 5cc
605 071 676
c1c a92 9ad
0b6 8f5 9ab
c71 70c 67c
4a6 5fb aa1
b50 517 366
506 760 c66
4c8 973 13a
62a 2c4 8ee
74d 3f1 b3e
311 582 893
1ee 288 476
64f a72 3c0
5fe 6b5 cb3
491 510 9a1
909 339 c42
520 8d4 0f3
79d 00a 7a7
cd0 926 8f5
4be 5c6 a84
749 aa6 4ee
2a6 00e 2b4
2ca 427 6f1
8a4 aee 691
88a 302 b8c
b57 6e1 537
103 a0e b11
5be 916 1d3
5ff 1be 7bd
043 564 5a7
148 135 27d
10d 14c 259
994 535 1c8
252 72d 97f
a03 4b9 1bb
2ce a1b ce9
a56 7c0 515
646 aec 431
b8a 1bc 045
b76 16a ce0
615 264 879
0bc 9f2 aae
154 84c 9a0
1d0 6c9 899
9ec 3bb 0a6
39f 96a 008
09a 80c 8a6
256 2e7 53d
2c2 30a 5cc
744 665 0a8
981 719 399
c6a 26b 1d4
ca7 280 226
66c ba9 514
295 64d 8e2
14e 427 575
cba aec aa5
06b 293 2fe
224 422 646
4e8 01f 507
498 543 9db
909 4fd 105
0d7 c3d 013
13e 695 7d3
5f4 40b 9ff
137 a86 bbd
c7e 47d 3fa
800 9a7 4a6
013 90e 921
192 505 697
0ff 810 90f
1ea 805 9ef
2db 532 80d
23b 7af 9ea
cb8 760 717
233 b29 05b
473 08f 502
881 5ae 12e
c5b 095 cf0
aad 83d 5e9
8e8 aa4 68b
631 625 c56
cc5 207 1cb
91d 4a3 0bf
bca 87c 745
cc1 3f5 3b5
43a 99b 0d4
96e 168 ad6
63f b73 4b1
5ab 210 7bb
bc3 a1f 8e1
911 239 b4a
1e2 0f9 2db
c69 b83 aeb
2ea 644 92e
197 b28 cbf
942 5f9 23a
87c 5be 139
b97 711 5a7
5ef a79 367
3bb 9ed 0a7
af3 37a 16c
903 05a 95d
c75 c25 b99
277 893 b0a
084 058 0dc
452 0c5 517
54f 454 9a3
078 32e 3a6
438 95b 092
500 21d 71d
b1c 3c7 1e2
24a 6b8 902
777 229 9a0
b8c 516 3a1
377 017 38e
688 887 20e
4f8 2dd 7d5
7dc b9f 67a
c1a 2bc 1d5
653 17e 7d1
02c 7e9 815
397 359 6f0
aa8 70c 4b3
5ad 9ce 27a
7ea 4ec cd6
5e7 9a5 28b
699 b80 518
2b8 258 510
0ff 206 305
03d 37f 3bc
02f 779 7a8
a1a 185 b9f
a0f 649 357
b80 555 3d4
ac3 ccc a8e
a20 3ee 10d
44d 918 064
7fa 6e0 1d9
972 0f6 a68
1e4 c97 17a
341 60b 94c
bfd ba7 aa3
39b 0eb 486
8ee 533 120
336 210 546
19d 2cb 468
826 74a 26f
001 716 717
9ef 318 006
c55 1e1 135
488 ce3 46a
cbf 05c 01a
b08 6ff 506
567 9db 241
504 c3f 442
630 715 044
7fd 8ac 3a8
353 419 76c
04d 615 662
b24 985 7a8
3c3 045 408
29d 289 526
ade acf 8ac
4d5 61a aef
980 976 5f5
7eb c47 731
778 283 9fb
431 cf4 424
61b 449 a64
76a cf2 75b
8da acf 6a8
83c 467 ca3
8d8 9a2 579
2fc 90a c06
c23 06e c91
5e3 0e6 6c9
2fe 187 485
029 793 7bc
396 b66 1fb
3cd bea 2b6
bb5 b18 9cc
651 2c3 914
0b1 2f8 3a9
42e 07e 4ac
c8b 7ef 779
c61 606 566
bf1 a97 987
aa3 6eb 48d
4ee 020 50e
811 53d 04d
965 7a1 405
177 3b5 52c
893 107 99a
1c3 43e 601
2ba 597 851
4f9 95f 157
cd5 396 36a
100 9dc adc
4b4 a66 219
226 992 bb8
3b9 9f4 0ac
41b a76 190
3c6 89e c64
496 548 9de
0a6 96a a10
524 38d 8b1
c5d c00 b5c
b58 a82 8d9
5ef 49d a8c
525 324 849
035 9cd a02
199 284 41d
882 244 ac6
55b 776 cd1
79b 4dc c77
6ee a10 3fd
181 09c 21d
8ca 6f8 2c1
46a 1f4 65e
0c8 486 54e
5ce 913 1e0
966 0be a24
476 a79 1ee
2f9 c9a 292
421 3ed 80e
952 4f8 149
7f8 8b3 3aa
6ec a4e 439
0fb 7b9 8b4
848 0be 906
1ec 9a0 b8c
acb 595 35f
2f6 c18 20d
b7b 180 cfb
94d 84e 49a
ad3 a08 7da
8c4 9f3 5b6
238 a72 caa
017 267 27e
a73 b99 90b
4ce 880 04d
6c6 595 c5b
1b4 2c0 474
8e1 9d9 5b9
780 93c 3bb
9d0 922 5f1
a8c be9 974
ced a18 a04
80c 180 98c
b40 9d5 814
3b6 ad5 18a
a60 bff 95e
962 c0e 86f
1ca 11b 2e5
0be 883 941
9a8 cd7 97e
bb3 75c 60e
04a b83 bcd
4f4 522 a16
5e9 7f4 0dc
019 8c1 8da
16f 650 7bf
4bd 9d9 195
0d1 513 5e4
53d 471 9ae
511 bf8 408
a35 b58 88c
34b 592 8dd
90f 452 060
120 707 827
8a1 bf6 796
ce1 7bb 79b
6ff 05d 75c
6b0 263 913
75b 34a aa5
a4a 442 18b
453 c24 376
567 651 bb8
c38 238 16f
3cd 157 524
16e 87b 9e9
005 46e 473
34e 70f a5d
c41 41c 35c
caa 01a cc4
b0c 0e3 bef
63c bf9 534
a64 424 187
4f0 060 550
cb8 383 33a
a14 785 498
89f c2a 7c8
13f acc c0b
795 616 0aa
623 1da 7fd
8c8 358 c20
8f4 7dc 3cf
3de a31 10e
8f4 b00 6f3
9d9 0c8 aa1
124 522 646
5b1 84e 0fe
067 a5b ac2
549 021 56a
52e 9ca 1f7
4ec cb0 49b
6f7 c7a 670
8dd 018 8f5
56a 67e be8
329 236 55f
a11 ba2 8b2
24b 16c 3b7
747 cb0 6f6
0e4 04e 132
b02 308 109
b27 585 3ab
2a1 06b 30c
702 698 099
635 900 234
94e cd4 921
bef 46b 359
749 574 cbd
48b 788 c13
ac1 169 c2a
a87 a9c 822
4db 752 c2d
bae cd4 b81
590 38c 91c
ca3 2ee 290
015 6c7 6dc
3de 004 3e2
9f1 147 b38
b00 b45 944
817 44e c65
8e2 be4 7c5
2cb 693 95e
8e8 8ff 4e6
5e5 7d0 0b4
2b0 3a0 650
3fd 731 b2e
425 7b2 bd7
65c b9a 4f5
6f5 39a a8f
88d 273 b00
9e2 4dc 1bd
300 422 722
68a 257 8e1
6ef 9a0 38e
28a 0c2 34c
344 568 8ac
013 ac2 ad5
5e1 938 218
b3f 4c7 305
178 79c 914
ccc c98 c63
219 00b 224
cbc 347 302
7dd 6a6 182
83e 02d 86b
9de c73 950
493 3b8 84b
403 b71 273
7ca 53a 003
3b8 6ba a72
5dd 4cf aac
8e8 5d1 1b8
c24 338 25b
81c a57 572
281 c05 185
cff 0ca 0c8
28f 336 5c5
876 1e9 a5f
969 b0f 777
c64 2dd 240
927 642 268
ae8 ad1 8b8
250 961 bb1
a7b 7fa 574
808 016 81e
97c 806 481
282 774 9f6
7ec 85d 348
7dc 75f 23a
5cf 17d 74c
580 30c 88c
933 412 044
08f 518 5a7
485 02f 4b4
0e1 09e 17f
1db 6cf 8aa
451 b96 2e6
c67 98c 8f2
531 c04 434
02d 89d 8ca
165 6b5 81a
2c9 7dc aa5
8c5 00b 8d0
6aa ae7 490
a36 53f 274
6d1 49d b6e
565 7ed 051
bda 0d0 caa
479 a39 1b1
348 c3a 281
193 0aa 23d
bea 81c 705
29e 692 930
2d3 c3e 210
33b 37b 6b6
023 600 623
8c1 2fd bbe
7d8 204 9dc
8af c2f 7dd
3c4 53d 901
562 3a3 905
a69 41e 186
1f6 0f9 2ef
18c 0a9 235
c48 437 37e
015 bd4 be9
1e1 2f8 4d9
9d3 668 33a
9b1 b4d 7fd
601 2de 8df
229 549 772
271 cbf 22f
cc6 8a1 866
af7 9a6 79c
365 67b 9e0
a9c c31 9cc
393 0d9 46c
5fb 074 66f
743 86a 2ac
2e7 000 2e7
a69 ace 836
67c a57 3d2
5aa 9dd 286
1cb 44c 617
13a 9dd b17
07d 668 6e5
9a6 a58 6fd
67b a01 37b
be9 390 278
c98 ad6 a6d
9e4 734 417
ae6 2a5 08a
5f7 446 a3d
a40 28e cce
50f 375 884
9b4 8f6 5a9
9d9 0d1 aaa
035 b3a b6f
2ab 59f 84a
c88 95d 8e4
45a bea 343
aac 84c 5f7
9fe 6d2 3cf
649 c8d 5d5
8ac 6f9 2a4
b5b 9fc 856
116 8d3 9e9
6e9 259 942
3d9 88e c67
3dc 70b ae7
100 9f5 af5
7d7 6d3 1a9
21d 858 a75
c17 336 24c
5a8 9df 286
36b b78 1e2
5d9 c69 541
0ed 63a 727
23a 174 3ae
7ce 42c bfa
514 ab8 2cb
6be a5a 417
5c8 2aa 872
cb7 62d 5e3
6ec 564 c50
ca3 58f 531
078 836 8ae
c3f 780 6be
c36 7c0 6f5
68f 047 6d6
8df 496 074
b6b 92e 798
a63 932 694
b90 37e 20d
58c b79 404
bcc 90d 7d8
361 668 9c9
2f6 0d0 3c6
0ff 404 503
889 cf8 880
c1d 94c 868
082 97c 9fe
398 979 010
a0d a47 753
bb4 4a5 358
c0b 92c 836
78f 207 996
793 1d2 965
8f3 30e c01
230 191 3c1
483 abb 23d
235 5ca 7ff
41c 8c3 cdf
6e4 7c4 1a7
82d cc4 7f0
40c cde 3e9
624 244 868
b76 a02 877
8f7 0ae 9a5
4d4 232 706
525 9c6 1ea
037 173 1aa
78b 6c8 152
31f 31f 63e
00b ba1 bac
9ca 0de aa8
7db 51b cf6
9cd ce1 9ad
51d 067 584
c2d 2d2 1fe
a9b b08 8a2
498 370 808
cd4 c38 c0b
559 286 7df
bac 25b 106
31c 7ba ad6
001 700 701
72a 37c aa6
aab 99c 746
154 44f 5a3
4b5 aea 29e
a91 841 5d1
afc c8a a85
bfa 53b 434
197 21b 3b2
9ba 5ea 2a3
c99 3b8 350
26c 6f5 961
7bb 0bd 878
b97 33b 1d1
63f 0a5 6e4
38d 2c9 656
800 924 423
ac4 706 4c9
a07 5eb 2f1
9cf 6d3 3a1
0ea 548 632
87a 773 2ec
379 908 c81
600 55a b5a
c4b 5e7 531
51a 775 c8f
bc4 a21 8e4
a1b 2e2 cfd
c10 935 844
17f b4f cce
397 898 c2f
2fd b74 170
270 c7b 1ea
78f 902 390
924 691 2b4
667 d00 666
ae5 56c 350
8c5 337 bfc
888 b49 6d0
83d 3fd c3a
9ea 724 40d
551 822 072
310 7fc b0c
24c bb2 0fd
0d3 602 6d5
a9b 693 42d
711 9e4 3f4
af3 b42 934
2ce 80f add
b05 85e 662
c5a 82b 784
87e 29b b19
0a3 44f 4f2
916 ade 6f3
b10 444 253
b31 2cd 0fd
572 b97 408
24f 114 363
0bb c8d 047
4e2 469 94b
b21 2e6 106
355 465 7ba
982 8fa 57b
65e 9de 33b
914 bef 802
aa7 9ea 790
c7c 314 28f
078 58a 602
856 cd5 82a
92c 1cc af8
46f 444 8b3
a7f 5cf 34d
48d 48e 91b
7ea 249 a33
c69 c0f b77
2f2 51a 80c
2fc 799 a95
a42 910 651
664 660 cc4
4ad 61f acc
4bd 679 b36
b12 456 267
284 a9f 022
7ca c87 750
621 742 062
c83 b3b abd
08d 7e4 871
cd2 457 428
32a cb1 2da
8b4 195 a49
b0e 07d b8b
01b be4 bff
146 b3a c80
537 107 63e
ae9 0d8 bc1
ad6 2d7 0ac
2af 0b5 364
5b3 343 8f6
163 537 69a
b5c b6b 9c6
a9f 9d0 76e
545 124 669
b02 937 738
2d9 690 969
cb0 7c0 76f
288 523 7ab
6df 86d 24b
419 ba4 2bc
9e5 aec 7d0
a6a 922 68b
ad1 5cd 39d
7c1 096 857
4d9 011 4ea
b89 12c cb5
5e9 90a 1f2
4fd b1e 31a
96e 19b b09
b7c 840 6bb
456 1ff 655
b27 452 278
399 597 930
a2e 2a4 cd2
209 898 aa1
a0a a60 769
b2c afc 927
658 823 17a
32f 618 947
ba0 06d c0d
123 797 8ba
6ee 50d bfb
501 4df 9e0
5d9 302 8db
b51 565 3b5
bfd 9ad 8a9
90f 0f6 a05
885 bf8 77c
076 605 67b
a66 307 06c
59a 98e 227
673 3be a31
97a 06e 9e8
44f 4f6 945
c19 b06 a1e
cd0 5d2 5a1
2fa 657 951
a2f 168 b97
38b 40b 796
a9f 564 302
3e1 820 c01
906 68a 28f
570 992 201
730 7f7 226
a7e 95f 6dc
11b 280 39b
0de 2de 3bc
217 662 879
c5f 4e8 446
0a7 a0f ab6
127 805 92c
01e 29e 2bc
cad 10e 0ba
8e9 9f0 5d8
701 5b0 cb1
4a8 c50 3f7
1e7 297 47e
5a7 c5b 501
994 9a9 63c
ad6 ad9 8ae
764 9cf 432
301 3e5 6e6
2a1 08c 32d
623 775 097
abd c30 9ec
05e 7d8 836
a17 560 276
86f 774 2e2
a32 2e9 01a
8ca 25f b29
196 395 52b
3e8 9db 0c2
b7a 182 cfc
6d5 466 b3b
4c7 856 01c
103 113 216
5ff 522 b21
778 7dd 254
17f 78d 90c
22b 065 290
150 1a0 2f0
ce7 905 8eb
58c 62a bb6
c83 16f 0f1
781 ba6 626
7cc 60f 0da
1c5 02b 1f0
7fc 836 331
90c ba5 7b0
cc6 b9c b61
50f b70 37e
c5c b0e a69
249 191 3da
be2 986 867
79e 25c 9fa
82e 461 c8f
9ef 8b9 5a7
14b 1e9 334
96e 786 3f3
3f9 7e6 bdf
3dd 925 001
655 389 9de
601 48f a90
5a6 158 6fe
413 1ce 5e1
68a 5c9 c53
8ec 1fc ae8
2c5 a00 cc5
cd9 b4f b27
cb8 8b1 868
abe 382 13f
a89 34c 0d4
3d1 2cd 69e
a4d a5b 7a7
055 7ba 80f
b3e 54f 38c
aa4 cd2 a75
c35 623 557
0b5 b1e bd3
cdb cec cc6
605 359 95e
997 8c3 559
c96 98b 920
5a9 88b 133
c5a 2a1 1fa
bac a93 93e
3b3 c50 302
765 263 9c8
ba2 492 333
279 b1c 094
083 ba3 c26
048 c7d cc5
4d6 653 b29
412 b64 275
376 c50 2c5
60a 764 06d
7ef 277 a66
ada 432 20b
84b 61a 164
beb a8f 979
cd5 0b9 08d
815 817 32b
4cd 0ae 57b
6d3 c10 5e2
672 96d 2de
cf0 36b 35a
c8c 4d8 463
066 62f 695
5fc c30 52b
6ca c3d 606
8a2 59d 13e
74c 764 1af
4a8 3a5 84d
05e bf7 c55
07c 03a 0b6
910 238 b48
806 88c 391
5c6 203 7c9
ba0 4c2 361
bb5 379 22d
b2c cc8 af3
153 c45 097
a63 779 4db
851 11b 96c
4cc 25a 726
524 a09 22c
64b 5bf c0a
98c b75 800
9ef b76 864
45e acb 228
24d 4b8 705
690 5b5 c45
4fa 202 6fc
24b 2a0 4eb
712 321 a33
c36 cd4 c09
bf2 8e0 7d1
1f6 1a7 39d
807 392 b99
086 cb1 036
224 0d9 2fd
7f2 a77 568
582 518 a9a
464 5f2 a56
8fc a22 61d
5bc 258 814
223 b44 066
429 b4e 276
b24 08c bb0
2a7 cfe 2a4
8bb 254 b0f
1af 59d 74c
6e9 595 c7e
831 157 988
367 950 cb7
4d9 14a 623
4e2 739 c1b
1f6 495 68b
1bf 225 3e4
07b 152 1cd
53d 07d 5ba
774 116 88a
978 570 1e7
516 543 a59
1fe b9f 09c
5ed a0e 2fa
709 7bd 1c5
b84 52d 3b0
3ca 797 b61
1b9 9f2 bab
8e4 a5f 642
065 8cc 931
10f 46a 579
513 0d3 5e6
066 b0a b70
99c 2d7 c73
623 b96 4b8
6ba 63d cf7
644 28b 8cf
066 6a0 706
4fe 136 634
4de 179 657
62c 096 6c2
ac3 a6b 82d
11f a43 b62
667 1e5 84c
884 69a 21d
073 6fb 76e
8d7 bd1 7a7
1a1 9a9 b4a
5a2 aab 34c
5f1 ab6 3a6
2ba 449 703
3c3 07a 43d
2e5 b9e 182
647 87f 1c5
831 037 868
0a2 946 9e8
c97 01a cb1
c01 392 292
6d0 877 246
439 46b 8a4
9ed 45d 149
a03 273 c76
ce7 246 22c
0c0 1d5 295
9c5 abb 77f
421 2d5 6f6
2fe 78d a8b
368 127 48f
bbc 4e6 3a1
305 479 77e
7cf 921 3ef
233 269 49c
71c 8a3 2be
a46 635 37a
9f0 a2d 71c
a94 99b 72e
c3b 5ae 4e8
47b 28f 70a
7e5 85d 341
0b9 025 0de
c7c 324 29f
445 2a7 6ec
404 559 95d
b00 b22 921
803 9cb 4cd
190 1fb 38b
349 151 49a
cd8 78a 761
99b 9ef 689
b09 686 48e
890 967 4f6
186 4a4 62a
3b1 cfc 3ac
948 aad 6f4
334 304 638
154 0ae 202
27d 413 690
27d 1ae 42b
867 81c 382
07b b1f b9a
6f2 3be ab0
3f8 6a2 a9a
1d4 a7b c4f
11e 729 847
9c1 36a 02a
8a7 38e c35
32b ca9 2d3
84a 6ac 1f5
4b1 a75 225
19e 253 3f1
b88 cb6 b3d
844 71f 262
608 506 b0e
61f 537 b56
1bf 2b5 474
1fe 666 864
ad3 982 754
cc5 b9e b62
99d a2d 6c9
a3f 67e 3bc
80f 170 97f
572 82d 09e
203 b2c 02e
0ad 2bc 369
1be 66d 82b
037 2e4 31b
4c3 ad6 298
4ca 9eb 1b4
ac6 027 aed
3a8 b2a 1d1
a43 932 674
7eb c6a 754
57a 5c2 b3c
416 260 676
977 452 0c8
cba 463 41c
637 afe 434
c45 003 c48
7b8 b46 5fd
ad3 256 028
7ec 2b2 a9e
496 bfb 390
884 0e4 968
336 c98 2cd
3f6 440 836
97d 562 1de
3c5 196 55b
ba5 755 5f9
477 645 abc
8d6 8fd 4d2
86b 17e 9e9
306 8b3 bb9
148 908 a50
264 c73 1d6
35b 316 671
8d9 ad6 6ae
43a 369 7a3
985 2f3 c78
04c 525 571
4dd 018 4f5
898 b1b 6b2
8f9 73e 336
49d 401 89e
b42 855 696
57e 934 1b1
386 33b 6c1
22b 5f5 820
29a 6b5 94f
22b 0f0 31b
314 c6a 27d
34c 244 590
59b 8b2 14c
51d 9ba 1d6
b75 5ed 461
c72 48b 3fc
884 8c5 448
856 7c7 31c
5bf 212 7d1
0f1 1d3 2c4
870 2a7 b17
ca0 5c4 563
b9e 17b 018
ca8 365 30c
999 6fe 396
c4e bbf b0c
7eb 53f 029
6c0 736 0f5
97a 8e7 560
3cf bdb 2a9
794 622 0b5
39e a8d 12a
68d 487 b14
689 63c cc5
49d 889 025
95f 089 9e8
4dd 786 c63
852 ca6 7f7
403 ae0 1e2
7c3 a8a 54c
3d5 61b 9f0
172 a68 bda
2f8 b73 16a
1a1 94c aed
5fe 87e 17b
5f4 cc5 5b8
c5e 021 c7f
746 687 0cc
3a8 762 b0a
575 4d0 a45
37a 08d 407
211 4d1 6e2
a51 61b 36b
405 5a0 9a5
970 420 08f
8fe 055 953
c39 014 c4d
068 876 8de
91b 1b2 acd
90d 120 a2d
5eb 108 6f3
446 422 868
cbf b66 b24
c55 210 164
7bc cb2 76d
399 4ae 847
2d0 17f 44f
891 054 8e5
cae 020 cce
042 c14 c56
300 3a8 6a8
91f 94c 56a
959 9a7 5ff
afd 104 c01
99e 429 0c6
362 365 6c7
2fb cd4 2ce
2f2 4ed 7df
4cf c19 3e7
9d1 aba 78a
877 737 2ad
039 b44 b7d
464 0b9 51d
1c0 89b a5b
4a5 1cb 670
7bf 018 7d7
240 14b 38b
01c a00 a1c
6d8 5f3 ccb
7a5 8af 353
476 160 5d6
a54 c77 9ca
5a1 103 6a4
3cc c2c 2f7
6aa c89 632
b98 738 5cf
771 9d1 441
2b0 082 332
b38 6ba 4f1
bb2 514 3c5
bb4 9da 88d
b2a 2db 104
b4a 863 6ac
6e3 3c6 aa9
47e 60c a8a
9d6 73d 412
32d 1b6 4e3
415 7d1 be6
001 4f5 4f6
2f0 ab9 0a8
75f 6f4 152
65b b99 4f3
054 0bd 111
253 9fd c50
432 c2b 35c
97f 923 5a1
537 458 98f
631 491 ac2
3c0 192 552
bf2 243 134
51d 66f b8c
9a4 162 b06
a1b 759 473
388 a2f 0b6
2a7 64f 8f6
a14 5fd 310
8da caa 883
c83 4ec 46e
105 10a 20f
712 ceb 6fc
440 1da 61a
bce a8e 95b
569 2ea 853
a57 c9c 9f2
193 3af 542
66e 971 2de
4d6 23e 714
9c2 9a7 668
53e 261 79f
a33 153 b86
2e0 9a3 c83
5d8 2bf 897
4e9 c2d 415
39a 6c7 a61
759 5c5 01d
8b3 30d bc0
05c 172 1ce
cb6 8d7 88c
459 370 7c9
02b b3e b69
b54 c17 a6a
79e 557 cf5
83c 594 0cf
4f1 10f 600
612 c07 518
231 5ff 830
525 a1e 242
83a 845 37e
be1 9af 88f
98a 6c7 350
1ed 72e 91b
156 7ba 910
0c7 539 600
b75 8bb 72f
329 485 7ae
0cc 49a 566
9e8 749 430
94d 543 18f
4fa 226 720
5af c24 4d2
21c 228 444
7f0 ac4 5b3
170 973 ae3
66f 080 6ef
0fa 8d5 9cf
917 492 0a8
7c7 378 b3f
4d4 211 6e5
a8c b3e 8c9
03e 492 4d0
5f8 454 a4c
37f c05 283
973 113 a86
3b1 05d 40e
c9e 19f 13c
57d 183 700
ada 919 6f2
420 c36 355
323 4fb 81e
af3 b9d 98f
094 977 a0b
374 16f 4e3
a38 b9b 8d2
804 7fa 2fd
cd0 3a5 374
722 195 8b7
74e 759 1a6
a41 649 389
28f 703 992
1bd 264 421
